,State Abbr.,2014 Male Officer Count,2014 Female Officer Count,2014 Officer Count,2014 Population,2015 Male Officer Count,2015 Female Officer Count,2015 Officer Count,2015 Population,2016 Male Officer Count,2016 Female Officer Count,2016 Officer Count,2016 Population,2017 Male Officer Count,2017 Female Officer Count,2017 Officer Count,2017 Population,2014 Officers per Person,2015 Officers per Person,2016 Officers per Person,2017 Officers per Person
0,CA,68250.0,10193.0,78443.0,38970399,68706.0,10167.0,78873.0,39469712,68699.0,10306.0,79005.0,39454294,68403.0,10337.0,78740.0,39713887,496.79893680761825,500.42108199257035,499.38983608632367,504.36737363474725
1,NY,54625.0,8302.0,62927.0,21799396,55464.0,8678.0,64142.0,21811666,56289.0,9053.0,65342.0,21809118,53305.0,9128.0,62433.0,21794544,346.4235701686081,340.0527891241308,333.76875516513115,349.086925183797
2,TX,50971.0,6308.0,57279.0,27240637,50571.0,6614.0,57185.0,27801749,51071.0,6760.0,57831.0,28685684,38225.0,5555.0,43780.0,28467008,475.57808271792453,486.1720556089884,496.0260759800107,650.2285975331201
3,FL,39512.0,6409.0,45921.0,20007473,42193.0,6937.0,49130.0,20388277,42062.0,7426.0,49488.0,20750677,38844.0,7132.0,45976.0,21152963,435.69332113847696,414.9863016486872,419.30724620109925,460.08706716547766
4,GA,32240.0,6483.0,38723.0,10503162,32796.0,6586.0,39382.0,10812277,32482.0,6670.0,39152.0,10662998,20520.0,4174.0,24694.0,10885394,271.2383338067815,274.54870245289726,272.34874335921535,440.81129019194947
5,IL,29622.0,4958.0,34580.0,13023192,30941.0,4945.0,35886.0,13117464,29537.0,4899.0,34436.0,12985528,20955.0,4322.0,25277.0,12911525,376.61052631578946,365.5315164688179,377.091648275061,510.80132135933854
6,NJ,27989.0,2744.0,30733.0,9134732,33986.0,3229.0,37215.0,9310977,30890.0,2992.0,33882.0,9005202,28308.0,3033.0,31341.0,9066144,297.22877688478184,250.19419588875454,265.7812998052063,289.27424140901695
7,PA,24293.0,2654.0,26947.0,13560937,24357.0,2648.0,27005.0,13631853,24030.0,2630.0,26660.0,13622531,23223.0,2619.0,25842.0,13598612,503.2447767840576,504.78996482132936,510.972655663916,526.2213450971287
8,NC,23945.0,2950.0,26895.0,10646776,24826.0,3060.0,27886.0,11015159,24258.0,2975.0,27233.0,10798726,24756.0,3309.0,28065.0,11965888,395.8645101319948,395.00677759449184,396.53090001101606,426.3633707464814
9,OH,23953.0,2536.0,26489.0,13864130,26169.0,2845.0,29014.0,14137838,22320.0,2393.0,24713.0,12838704,12068.0,1380.0,13448.0,11763545,523.3919740269546,487.27641828082994,519.5121595921175,874.7430844735277
